fips_code,county_name,heart_disease_deathrate_per_100000
16013,"""Blaine, (ID)""",365.7
16015,"""Boise, (ID)""",356.7
16017,"""Bonner, (ID)""",429.0
16019,"""Bonneville, (ID)""",427.6
16021,"""Boundary, (ID)""",448.2
16023,"""Butte, (ID)""",408.0
16025,"""Camas, (ID)""",425.5
16027,"""Canyon, (ID)""",382.5
16029,"""Caribou, (ID)""",483.2
16031,"""Cassia, (ID)""",428.3
16033,"""Clark, (ID)""",386.5
16035,"""Clearwater, (ID)""",428.3
16037,"""Custer, (ID)""",348.8
16039,"""Elmore, (ID)""",405.7
16041,"""Franklin, (ID)""",414.6
16043,"""Fremont, (ID)""",431.3
16045,"""Gem, (ID)""",379.1
16047,"""Gooding, (ID)""",565.6
16049,"""Idaho, (ID)""",371.6
16051,"""Jefferson, (ID)""",387.8
16053,"""Jerome, (ID)""",380.9
16055,"""Kootenai, (ID)""",416.1
16057,"""Latah, (ID)""",402.8
16059,"""Lemhi, (ID)""",357.1
16061,"""Lewis, (ID)""",418.6
16063,"""Lincoln, (ID)""",454.6
16065,"""Madison, (ID)""",451.8
16067,"""Minidoka, (ID)""",392.9
16069,"""Nez Perce, (ID)""",447.5
16071,"""Oneida, (ID)""",424.9
16073,"""Owyhee, (ID)""",394.6
16075,"""Payette, (ID)""",419.3
16077,"""Power, (ID)""",481.9
16079,"""Shoshone, (ID)""",479.2
16081,"""Teton, (ID)""",326.0
16083,"""Twin Falls, (ID)""",382.1
16085,"""Valley, (ID)""",330.7
16087,"""Washington, (ID)""",450.3
17001,"""Adams, (IL)""",454.0
17003,"""Alexander, (IL)""",639.8
17005,"""Bond, (IL)""",468.5
17007,"""Boone, (IL)""",419.2
17009,"""Brown, (IL)""",462.3
17011,"""Bureau, (IL)""",459.9
17013,"""Calhoun, (IL)""",461.8
17015,"""Carroll, (IL)""",415.7
17017,"""Cass, (IL)""",448.9
17019,"""Champaign, (IL)""",357.2
17021,"""Christian, (IL)""",499.0
17023,"""Clark, (IL)""",534.9
17025,"""Clay, (IL)""",480.1
17027,"""Clinton, (IL)""",480.8
17029,"""Coles, (IL)""",528.3
17031,"""Cook, (IL)""",463.3
17033,"""Crawford, (IL)""",506.1
17035,"""Cumberland, (IL)""",471.8
17037,"""DeKalb, (IL)""",438.5
17039,"""De Witt, (IL)""",435.6
17041,"""Douglas, (IL)""",431.6
17043,"""DuPage, (IL)""",352.6
17045,"""Edgar, (IL)""",622.2
17047,"""Edwards, (IL)""",480.9
17049,"""Effingham, (IL)""",445.1
17051,"""Fayette, (IL)""",435.5
17053,"""Ford, (IL)""",461.7
17055,"""Franklin, (IL)""",437.4
17057,"""Fulton, (IL)""",451.0
17059,"""Gallatin, (IL)""",589.8
17061,"""Greene, (IL)""",495.5
17063,"""Grundy, (IL)""",507.2
17065,"""Hamilton, (IL)""",629.5
17067,"""Hancock, (IL)""",417.5
17069,"""Hardin, (IL)""",541.0
17071,"""Henderson, (IL)""",489.8
17073,"""Henry, (IL)""",482.8
17075,"""Iroquois, (IL)""",557.6
17077,"""Jackson, (IL)""",478.2
17079,"""Jasper, (IL)""",464.8
17081,"""Jefferson, (IL)""",409.3
17083,"""Jersey, (IL)""",521.4
17085,"""Jo Daviess, (IL)""",390.0
17087,"""Johnson, (IL)""",409.4
17089,"""Kane, (IL)""",358.8
17091,"""Kankakee, (IL)""",464.7
17093,"""Kendall, (IL)""",359.7
17095,"""Knox, (IL)""",460.4
17097,"""Lake, (IL)""",363.9
17099,"""La Salle, (IL)""",527.4
17101,"""Lawrence, (IL)""",497.1
17103,"""Lee, (IL)""",451.0
17105,"""Livingston, (IL)""",561.2
17107,"""Logan, (IL)""",413.8
17109,"""McDonough, (IL)""",452.4
17111,"""McHenry, (IL)""",414.7
17113,"""McLean, (IL)""",387.9
17115,"""Macon, (IL)""",507.6
17117,"""Macoupin, (IL)""",526.4
17119,"""Madison, (IL)""",506.4
17121,"""Marion, (IL)""",540.0
17123,"""Marshall, (IL)""",515.8
17125,"""Mason, (IL)""",435.5
17127,"""Massac, (IL)""",602.0
17129,"""Menard, (IL)""",430.8
17131,"""Mercer, (IL)""",492.9
17133,"""Monroe, (IL)""",420.4
17135,"""Montgomery, (IL)""",453.0
17137,"""Morgan, (IL)""",487.6
17139,"""Moultrie, (IL)""",500.0
17141,"""Ogle, (IL)""",437.0
17143,"""Peoria, (IL)""",448.3
17145,"""Perry, (IL)""",456.1
17147,"""Piatt, (IL)""",456.4
17149,"""Pike, (IL)""",397.3
17151,"""Pope, (IL)""",522.8
17153,"""Pulaski, (IL)""",615.5
17155,"""Putnam, (IL)""",471.6
17157,"""Randolph, (IL)""",464.2
17159,"""Richland, (IL)""",474.8
17161,"""Rock Island, (IL)""",503.6
17163,"""St. Clair, (IL)""",487.3
17165,"""Saline, (IL)""",527.0
17167,"""Sangamon, (IL)""",434.6
17169,"""Schuyler, (IL)""",449.9
17171,"""Scott, (IL)""",459.7
17173,"""Shelby, (IL)""",487.4
17175,"""Stark, (IL)""",456.5
17177,"""Stephenson, (IL)""",398.6
17179,"""Tazewell, (IL)""",429.9
17181,"""Union, (IL)""",494.6
17183,"""Vermilion, (IL)""",592.1
